,Open,High,Low,Close,Adj Close,Volume
44498.0,324.1300048828,332.0,323.8999938965,331.6199951172,328.8657226562,34766000
44501.0,331.3599853516,331.4899902344,326.3699951172,329.3699951172,326.6344299316,27073200
44502.0,330.3099975586,333.450012207,330.0,333.1300048828,330.3632202148,26487100
44503.0,333.8999938965,334.8999938965,330.6499938965,334.0,331.225982666,21500100
44504.0,332.8900146484,336.5400085449,329.5100097656,336.4400024414,333.6457214355,23992200
44505.0,338.5100097656,338.7900085449,334.4200134277,336.0599975586,333.2688293457,22570100
44508.0,337.299987793,337.6499938965,334.4400024414,336.9899902344,334.1911315918,20897000
44509.0,337.1099853516,338.7200012207,334.5299987793,335.950012207,333.1597900391,21307400
44510.0,334.5700073242,334.6300048828,329.9200134277,330.799987793,328.052520752,25500900
44511.0,331.25,333.7699890137,330.5100097656,332.4299926758,329.6690063477,16849800
44512.0,333.9200134277,337.2300109863,333.7900085449,336.7200012207,333.9233703613,23831000
44515.0,337.5400085449,337.8800048828,334.0299987793,336.0700073242,333.2788085938,16723000
44516.0,335.6799926758,340.6700134277,335.5100097656,339.5100097656,336.690246582,20886800
44517.0,338.9400024414,342.1900024414,338.0,339.1199951172,336.9187011719,19053400
44518.0,338.1799926758,342.450012207,337.1199951172,341.2699890137,339.0547485352,22463500
44519.0,342.6400146484,345.1000061035,342.200012207,343.1099853516,340.8827819824,21963400
44522.0,344.6199951172,349.6700134277,339.549987793,339.8299865723,337.6240844727,31031100
44523.0,337.049987793,339.450012207,333.5599975586,337.6799926758,335.488067627,30427600
44524.0,336.2799987793,338.1600036621,333.9100036621,337.9100036621,335.716583252,21661300
44526.0,334.3500061035,337.9299926758,328.1199951172,329.6799926758,327.5399780273,24217200
44529.0,334.9400024414,339.0299987793,334.7399902344,336.6300048828,334.4448852539,28563500
44530.0,335.3200073242,337.7799987793,328.9899902344,330.5899963379,328.4440612793,42885600
44531.0,335.1300048828,339.2799987793,329.3900146484,330.0799865723,327.9373779297,33337600
44532.0,330.299987793,333.4899902344,327.799987793,329.4899902344,327.3511962891,30766000
44533.0,331.9899902344,332.700012207,318.0299987793,323.0100097656,320.9132995605,41779300
44536.0,323.950012207,327.450012207,319.2300109863,326.1900024414,324.0726318359,30032600
44537.0,331.6400146484,335.799987793,330.1000061035,334.9200134277,332.7459716797,31021900
44538.0,335.3099975586,335.5,330.799987793,334.9700012207,332.7956542969,24761000
44539.0,334.4100036621,336.4899902344,332.1199951172,333.1000061035,330.9378051758,22214200
44540.0,334.9800109863,343.0,334.7900085449,342.5400085449,340.3165283203,38095700
44543.0,340.6799926758,343.7900085449,339.0799865723,339.3999938965,337.1968994141,28899400
44544.0,333.2200012207,334.6400146484,324.1099853516,328.3399963379,326.2086791992,44438700
44545.0,328.6099853516,335.1900024414,324.5,334.6499938965,332.477722168,35381100
44546.0,335.7099914551,336.7600097656,323.0199890137,324.8999938965,322.791015625,35034800
44547.0,320.8800048828,324.9200134277,317.25,323.799987793,321.6981201172,47750300
44550.0,320.049987793,322.799987793,317.5700073242,319.9100036621,317.833404541,28326500
44551.0,323.2900085449,327.7300109863,319.799987793,327.2900085449,325.1654968262,24740600
44552.0,328.299987793,333.6099853516,325.75,333.200012207,331.0371704102,24831500
44553.0,332.75,336.3900146484,332.7300109863,334.6900024414,332.5174560547,19617800
44557.0,335.4599914551,342.4800109863,335.4299926758,342.450012207,340.2271118164,19947000
44558.0,343.1499938965,343.8099975586,340.3200073242,341.25,339.0348815918,15661500
44559.0,341.299987793,344.299987793,339.6799926758,341.950012207,339.7303771973,15042000
44560.0,341.9100036621,343.1300048828,338.8200073242,339.3200073242,337.1174316406,15994500
44561.0,338.5100097656,339.3599853516,335.8500061035,336.3200073242,334.1369018555,18000800
44564.0,335.3500061035,338.0,329.7799987793,334.75,332.5770568848,28865100
44565.0,334.8299865723,335.200012207,326.1199951172,329.0100097656,326.8743591309,32674300
44566.0,325.8599853516,326.0700073242,315.9800109863,316.3800048828,314.3263244629,40054300
44567.0,313.1499938965,318.700012207,311.4899902344,313.8800048828,311.8425598145,39646100
44568.0,314.1499938965,316.5,310.0899963379,314.0400085449,312.0015258789,32720000
44571.0,309.4899902344,314.7200012207,304.6900024414,314.2699890137,312.2300109863,44289500
44572.0,313.3800048828,316.6099853516,309.8900146484,314.9800109863,312.9353942871,29386800
44573.0,319.6700134277,323.4100036621,317.0799865723,318.2699890137,316.2040405273,34372200
44574.0,320.4700012207,320.8800048828,304.0,304.799987793,302.821472168,45366000
44575.0,304.25,310.8200073242,303.75,310.200012207,308.1864624023,39846400
44579.0,304.0700073242,309.799987793,301.7399902344,302.6499938965,300.6854248047,42333200
44580.0,306.2900085449,313.9100036621,302.700012207,303.3299865723,301.3610229492,45933900
44581.0,309.0700073242,311.6499938965,301.1400146484,301.6000061035,299.6422729492,35380700
44582.0,302.6900024414,304.1099853516,295.6099853516,296.0299987793,294.1084289551,57984400
44585.0,292.200012207,297.1099853516,276.049987793,296.3699951172,294.4461975098,85731500
44586.0,291.5199890137,294.9899902344,285.1700134277,288.4899902344,286.6173400879,72848600
44587.0,307.9899902344,308.5,293.0299987793,296.7099914551,294.783996582,90428900
44588.0,302.6600036621,307.299987793,297.9299926758,299.8399963379,297.8936767578,53481300
44589.0,300.2300109863,308.4800109863,294.450012207,308.2600097656,306.2590332031,49743700
44592.0,308.950012207,312.3800048828,306.3699951172,310.9800109863,308.9613647461,46444500
44593.0,310.4100036621,310.6300048828,305.1300048828,308.7600097656,306.7557983398,40950400
44594.0,309.6300048828,315.1199951172,308.8800048828,313.4599914551,311.4252624512,36636000
44595.0,309.4899902344,311.2300109863,299.9599914551,301.25,299.2945251465,43730000
44596.0,300.2099914551,308.799987793,299.9700012207,305.9400024414,303.9541015625,35096500
44599.0,306.1700134277,307.8399963379,299.8999938965,300.950012207,298.9964599609,28533300
44600.0,301.25,305.5599975586,299.950012207,304.5599975586,302.5830383301,32421200
44601.0,309.8699951172,311.9299926758,307.3900146484,311.2099914551,309.1898803711,31284700
44602.0,304.0400085449,309.1199951172,300.700012207,302.3800048828,300.4172058105,45386200
44603.0,303.1900024414,304.2900085449,294.2200012207,295.0400085449,293.1248168945,39175600
44606.0,293.7699890137,296.7600097656,291.3500061035,295.0,293.0851135254,36359500
44607.0,300.0100097656,300.799987793,297.0199890137,300.4700012207,298.5196228027,27058300
44608.0,298.3699951172,300.8699951172,293.6799926758,299.5,298.1711730957,29982100
44609.0,296.3599853516,296.799987793,290.0,290.7300109863,289.4400939941,32461600
44610.0,293.049987793,293.8599853516,286.3099975586,287.9299926758,286.6524963379,34264000
44614.0,285.0,291.5400085449,284.5,287.7200012207,286.4434204102,41736100
44615.0,290.1799926758,291.700012207,280.1000061035,280.2699890137,279.0264892578,37811200
44616.0,272.5100097656,295.1600036621,271.5199890137,294.5899963379,293.2829589844,56989700
44617.0,295.1400146484,297.6300048828,291.6499938965,297.3099975586,295.9908752441,32546700
44620.0,294.3099975586,299.1400146484,293.0,298.7900085449,297.4643249512,34627500
44621.0,296.3999938965,299.9700012207,292.1499938965,294.950012207,293.6413574219,31217800
44622.0,295.3599853516,301.4700012207,293.700012207,300.1900024414,298.8580932617,31873000
44623.0,302.8900146484,303.1300048828,294.049987793,295.9200134277,294.6070556641,27314500
44624.0,294.2900085449,295.6600036621,287.1700134277,289.8599853516,288.5739135742,32356500
44627.0,288.5299987793,289.6900024414,278.5299987793,278.9100036621,277.6725158691,43157200
44628.0,277.799987793,283.9599914551,270.0,275.8500061035,274.6260986328,48159500
44629.0,283.4400024414,289.6000061035,280.7799987793,288.5,287.2199401855,35204500
44630.0,283.0199890137,286.6000061035,280.5799865723,285.5899963379,284.3228759766,30628000
44631.0,287.9599914551,289.5100097656,279.4299926758,280.0700073242,278.8273620605,27209300
44634.0,280.3399963379,285.3999938965,275.8200073242,276.4400024414,275.213470459,30660700
44635.0,280.3500061035,287.8200073242,278.7300109863,287.1499938965,285.8759460449,34245100
44636.0,289.1099853516,294.5700073242,283.200012207,294.3900146484,293.0838317871,37826300
44637.0,293.2900085449,295.6099853516,289.3699951172,295.2200012207,293.91015625,30816600
44638.0,295.3699951172,301.0,292.7300109863,300.4299926758,299.0970153809,43390600
44641.0,298.8900146484,300.1400146484,294.8999938965,299.1600036621,297.8326416016,28351200
44642.0,299.799987793,305.0,298.7699890137,304.0599975586,302.7109069824,27599700
44643.0,300.5100097656,303.2300109863,297.7200012207,299.4899902344,298.1611938477,25715400
44644.0,299.1400146484,304.200012207,298.3200073242,304.1000061035,302.7507629395,24484500
44645.0,305.2300109863,305.5,299.2900085449,303.6799926758,302.332611084,22566500
44648.0,304.3299865723,310.799987793,304.3299865723,310.700012207,309.321472168,29578200
44649.0,313.9100036621,315.8200073242,309.049987793,315.4100036621,314.0105895996,30393400
44650.0,313.7600097656,315.950012207,311.5799865723,313.8599853516,312.4674377441,28163600
44651.0,313.8999938965,315.1400146484,307.8900146484,308.3099975586,306.9420471191,33422100
44652.0,309.3699951172,310.1300048828,305.5400085449,309.4200134277,308.0471496582,27110500
44655.0,310.0899963379,315.1099853516,309.7099914551,314.9700012207,313.5725097656,24289600
44656.0,313.2699890137,314.8699951172,309.8699951172,310.8800048828,309.5006713867,23156700
44657.0,305.1900024414,307.0,296.7099914551,299.5,298.1711730957,40110400
44658.0,296.6600036621,303.6499938965,296.3500061035,301.3699951172,300.0328674316,31411200
44659.0,300.4400024414,301.1199951172,296.2799987793,296.9700012207,295.6523742676,24361900
44662.0,291.7900085449,292.6099853516,285.0,285.2600097656,283.994354248,34569300
44663.0,289.2399902344,290.7399902344,280.4899902344,282.0599975586,280.8085327148,30966700
44664.0,282.7300109863,288.5799865723,281.299987793,287.6199951172,286.3438415527,21907200
44665.0,288.0899963379,288.3099975586,279.3200073242,279.8299865723,278.5884094238,28221600
44669.0,278.9100036621,282.4599914551,278.3399963379,280.5199890137,279.2753601074,20778000
44670.0,279.3800048828,286.1700134277,278.4100036621,285.299987793,284.0341491699,22297700
44671.0,289.3999938965,289.700012207,285.3699951172,286.3599853516,285.0894470215,22906700
44672.0,288.5799865723,293.299987793,280.0599975586,280.8099975586,279.5640869141,29454600
44673.0,281.6799926758,283.200012207,273.3800048828,274.0299987793,272.8141784668,29405800
44676.0,273.2900085449,281.1099853516,270.7699890137,280.7200012207,279.4744873047,35678900
44677.0,277.5,278.3599853516,270.0,270.2200012207,269.0210571289,46518400
44678.0,282.1000061035,290.9700012207,279.1600036621,283.2200012207,281.9634094238,63477700
44679.0,285.1900024414,290.9800109863,281.4599914551,289.6300048828,288.3449707031,33646600
44680.0,288.6099853516,289.8800048828,276.5,277.5199890137,276.2886657715,37073900
44683.0,277.7099914551,284.9400024414,276.2200012207,284.4700012207,283.2078552246,35151100
44684.0,283.9599914551,284.1300048828,280.1499938965,281.7799987793,280.5297851562,25978600
44685.0,282.5899963379,290.8800048828,276.7300109863,289.9800109863,288.6934204102,33599300
44686.0,285.5400085449,286.3500061035,274.3399963379,277.3500061035,276.1194458008,43260400
44687.0,274.8099975586,279.25,271.2699890137,274.7300109863,273.5110778809,37780300
44690.0,270.0599975586,272.3599853516,263.3200073242,264.5799865723,263.4060668945,47726000
44691.0,271.6900024414,273.75,265.0700073242,269.5,268.3042602539,39336400
44692.0,265.6799926758,271.3599853516,259.299987793,260.549987793,259.393951416,48975900
44693.0,257.6900024414,259.8800048828,250.0200042725,255.3500061035,254.2170410156,51033800
44694.0,257.3500061035,263.0400085449,255.3500061035,261.1199951172,259.9614562988,34925100
44697.0,259.9599914551,265.8200073242,255.7799987793,261.5,260.3397521973,32550900
44698.0,266.1099853516,268.3299865723,262.4599914551,266.8200073242,265.6361694336,28828800
44699.0,263.0,263.6000061035,252.7700042725,254.0800018311,253.5418395996,31356000
44700.0,253.8999938965,257.6700134277,251.8800048828,253.1399993896,252.6038208008,32692300
44701.0,257.2399902344,258.5400085449,246.4400024414,252.5599975586,252.0250549316,39199300
44704.0,255.4900054932,261.5,253.4299926758,260.6499938965,260.0979003906,33175400
44705.0,257.8900146484,261.3299865723,253.5,259.6199951172,259.070098877,29043900
44706.0,258.1400146484,264.5799865723,257.1300048828,262.5199890137,261.9639282227,28547900
44707.0,262.2699890137,267.1099853516,261.4299926758,265.8999938965,265.3367919922,25002100
44708.0,268.4800109863,273.3399963379,267.5599975586,273.2399902344,272.6612243652,26910800
44712.0,272.5299987793,274.7699890137,268.9299926758,271.8699951172,271.2941589355,37827700
44713.0,275.200012207,277.6900024414,270.0400085449,272.4200134277,271.8429870605,25292200
44714.0,264.450012207,274.6499938965,261.6000061035,274.5799865723,273.9983825684,44008200
44715.0,270.3099975586,273.450012207,268.4100036621,270.0199890137,269.448059082,28059000
44718.0,272.0599975586,274.1799926758,267.2200012207,268.75,268.1807556152,22400300
44719.0,266.6400146484,273.1300048828,265.9400024414,272.5,271.9228210449,22860700
44720.0,271.7099914551,273.0,269.6099853516,270.4100036621,269.8372497559,17372300
44721.0,267.7799987793,272.7099914551,264.6300048828,264.7900085449,264.2291564941,26439700
44722.0,260.5799865723,260.5799865723,252.5299987793,252.9900054932,252.4541473389,31422800
44725.0,245.1100006104,249.0200042725,241.5299987793,242.2599945068,241.7468566895,46135800
44726.0,243.8600006104,245.7400054932,241.5099945068,244.4900054932,243.97215271,28651500
44727.0,248.3099975586,255.3000030518,246.4199981689,251.7599945068,251.2267456055,33111700
44728.0,245.9799957275,247.4199981689,243.0200042725,244.9700012207,244.4511260986,33169200
44729.0,244.6999969482,250.5,244.0299987793,247.6499938965,247.1254425049,43084800
44733.0,250.2599945068,254.75,249.5099945068,253.7400054932,253.2025604248,29928300
44734.0,251.8899993896,257.1700134277,250.3699951172,253.1300048828,252.5938415527,25939900
44735.0,255.5700073242,259.3699951172,253.6300048828,258.8599853516,258.3116760254,25861400
44736.0,261.8099975586,267.9800109863,261.7200012207,267.700012207,267.1329956055,33923200
44739.0,268.2099914551,268.299987793,263.2799987793,264.8900146484,264.3289489746,24615100
44740.0,263.9800109863,266.9100036621,256.3200073242,256.4800109863,255.9367523193,27295500
44741.0,257.5899963379,261.9700012207,255.7599945068,260.2600097656,259.7087402344,20069800
44742.0,257.049987793,259.5299987793,252.8999938965,256.8299865723,256.2859802246,31730900
44743.0,256.3900146484,259.7699890137,254.6100006104,259.5799865723,259.0301818848,22837700
44747.0,256.1600036621,262.9800109863,254.7400054932,262.8500061035,262.2932739258,22941000
44748.0,263.75,267.9899902344,262.3999938965,266.2099914551,265.6461181641,23824400
44749.0,265.1199951172,269.0599975586,265.0199890137,268.3999938965,267.8314819336,20859900
44750.0,264.7900085449,268.1000061035,263.2900085449,267.6600036621,267.0930786133,19658800
44753.0,265.6499938965,266.5299987793,262.1799926758,264.5100097656,263.9497375488,19455200
44754.0,265.8800048828,265.9400024414,252.0399932861,253.6699981689,253.1326904297,35868500
44755.0,250.1900024414,253.5500030518,248.1100006104,252.7200012207,252.1847076416,29497400
44756.0,250.5700073242,255.1399993896,245.9400024414,254.0800018311,253.5418395996,25102800
44757.0,255.7200012207,260.3699951172,254.7700042725,256.7200012207,256.1762390137,29774100
44760.0,259.75,260.8399963379,253.3000030518,254.25,253.7114715576,20975000
44761.0,257.5799865723,259.7200012207,253.6799926758,259.5299987793,258.9802856445,25012600
44762.0,259.8999938965,264.8699951172,258.9100036621,262.2699890137,261.7144775391,22788300
44763.0,259.7900085449,264.8900146484,257.0299987793,264.8399963379,264.2790222168,22404700
44764.0,265.2399902344,265.3299865723,259.0700073242,260.3599853516,259.8085021973,21881300
44767.0,261.0,261.5,256.8099975586,258.8299865723,258.2817687988,21056000
44768.0,259.8599853516,259.8800048828,249.5700073242,251.8999938965,251.3664398193,39348000
44769.0,261.1600036621,270.049987793,258.8500061035,268.7399902344,268.1707763672,45994000
44770.0,269.75,277.8399963379,267.8699951172,276.4100036621,275.8245239258,33459300
44771.0,277.700012207,282.0,276.6300048828,280.7399902344,280.1453552246,32152800
44774.0,277.8200073242,281.2799987793,275.8399963379,278.0100097656,277.4211425781,21539600
44775.0,276.0,277.8900146484,272.3800048828,274.8200073242,274.2379150391,22754200
44776.0,276.7600097656,283.5,276.6099853516,282.4700012207,281.8717041016,23518900
44777.0,281.799987793,283.799987793,280.1700134277,283.6499938965,283.0491943359,18098700
44778.0,279.1499938965,283.6499938965,278.6799926758,282.9100036621,282.310760498,16774600
44781.0,284.049987793,285.9200134277,279.3200073242,280.3200073242,279.7262573242,18739200
44782.0,279.6400146484,283.0799865723,277.6099853516,282.299987793,281.7020568848,23405200
44783.0,288.1700134277,289.8099975586,286.9400024414,289.1600036621,288.5475158691,24687800
44784.0,290.8500061035,291.2099914551,286.5100097656,287.0199890137,286.4120483398,20065900
44785.0,288.4800109863,291.9100036621,286.9400024414,291.9100036621,291.2917175293,22619700
44788.0,291.0,294.1799926758,290.1099853516,293.4700012207,292.8483886719,18085700
44789.0,291.9899902344,294.0400085449,290.4200134277,292.7099914551,292.0899963379,18102900
44790.0,289.7399902344,293.3500061035,289.4700012207,291.3200073242,291.3200073242,18253400
44791.0,290.1900024414,291.9100036621,289.0799865723,290.1700134277,290.1700134277,17186200
44792.0,288.8999938965,289.25,285.5599975586,286.1499938965,286.1499938965,20570000
44795.0,282.0799865723,282.4599914551,277.2200012207,277.75,277.75,25061100
44796.0,276.4400024414,278.8599853516,275.3999938965,276.4400024414,276.4400024414,17527400
44797.0,275.4100036621,277.2300109863,275.1099853516,275.7900085449,275.7900085449,18137000
44798.0,277.3299865723,279.0199890137,274.5199890137,278.8500061035,278.8500061035,16583400
44799.0,279.0799865723,280.3399963379,267.9800109863,268.0899963379,268.0899963379,27549300
44802.0,265.8500061035,267.3999938965,263.8500061035,265.2300109863,265.2300109863,20338500
44803.0,266.6700134277,267.049987793,260.6600036621,262.9700012207,262.9700012207,22767100
44804.0,265.3900146484,267.1099853516,261.3299865723,261.4700012207,261.4700012207,24791800
44805.0,258.8699951172,260.8900146484,255.4100036621,260.3999938965,260.3999938965,23263400
44806.0,261.700012207,264.7399902344,254.4700012207,256.0599975586,256.0599975586,22841600
44810.0,256.200012207,257.8299865723,251.9400024414,253.25,253.25,21328200
44811.0,254.6999969482,258.8299865723,253.2200012207,258.0899963379,258.0899963379,24126700
44812.0,257.5100097656,260.4299926758,254.7899932861,258.5199890137,258.5199890137,20319900
44813.0,260.5,265.2300109863,260.2900085449,264.4599914551,264.4599914551,22084700
44816.0,265.7799987793,267.450012207,265.1600036621,266.6499938965,266.6499938965,18747700
44817.0,258.8399963379,260.3999938965,251.5899963379,251.9900054932,251.9900054932,33353300
44818.0,253.5299987793,254.2299957275,249.8600006104,252.2200012207,252.2200012207,23913000
44819.0,249.7700042725,251.3999938965,244.0200042725,245.3800048828,245.3800048828,31530900
44820.0,244.2599945068,245.3000030518,242.0599975586,244.7400054932,244.7400054932,39775100
44823.0,242.4700012207,245.1399993896,240.8500061035,244.5200042725,244.5200042725,26826900
44824.0,242.0700073242,243.5099945068,239.6399993896,242.4499969482,242.4499969482,26660300
44825.0,244.2700042725,247.6600036621,238.8999938965,238.9499969482,238.9499969482,28625600
